SN,ANLN1,ANLN2,AUFNR,AUGBL,AUGDT,BELNR,BSCHL,BTYPE,BUKRS,BUZEI,DMBTR,EBELN,EBELP,ETYPE,GJAHR,HBKID,HKONT,KOART,KOKRS,KOSTL,KTOSL,KUNNR,LIFNR,MATNR,MWSKZ,POSN2,PRCTR,SGTXT,SHKZG,UMSKZ,VBEL2,VBELN,VORGN,WERKS,XANET,XAUTO,XINVE,XOPVW,XSAUF,XSERG,XSKST,XSPRO,XUMAN,XUMSW,XZAHL
2,            ,    ,            ,          ,0,1,40,  ,2809,2,200,          ,0,   ,2022,     ,476900,S,2809,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
1,            ,    ,            ,          ,0,1,50,  ,2809,1,200,          ,0,   ,2022,     ,100000,S,2809,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
2,            ,    ,            ,          ,0,100000000,40,  ,1000,1,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
3,            ,    ,            ,          ,0,100000000,40,  ,1000,1,100,          ,0,   ,2023,     ,113131,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , ,X, , , , , , ,
4,            ,    ,            ,          ,0,100000000,40,  ,1198,2,200000,          ,0,   ,2022,     ,78200,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
5,            ,    ,            ,          ,0,100000000,40,  ,1545,2,1000,          ,0,   ,2022,     ,65008300,S,1545,15450001,   ,          ,          ,                  ,A9,0,          ,Servicio de reparación eléctrica                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
6,            ,    ,            ,          ,0,100000000,40,  ,1545,3,100,          ,0,   ,2022,     ,12700000,S,1545,          ,VST,          ,          ,                  ,A9,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
7,            ,    ,            ,          ,0,100000000,50,  ,1000,2,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
8,            ,    ,            ,          ,0,100000000,50,  ,1000,2,100,          ,0,   ,2023,     ,473110,S,1000,2140,   ,          ,          ,                  ,0I,0,1402,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
9,            ,    ,            ,          ,0,100000000,50,  ,1198,1,200000,          ,0,   ,2022,     ,78200,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
10,            ,    ,            ,          ,0,100000000,50,  ,2200,1,1200,          ,0,   ,2022,     ,671200,S,2200,2100,   ,          ,          ,                  ,V0,0,1402,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
11,            ,    ,            ,          ,0,100000001,40,  ,1000,2,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,X
12,            ,    ,            ,          ,0,100000001,40,  ,1198,1,200000,          ,0,   ,2022,     ,78200,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,Aumento de capital - Tarea 3 de la guía           ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
13,            ,    ,            ,          ,0,100000001,40,  ,1545,1,2000,          ,0,   ,2022,     ,63002000,S,1545,15450001,   ,          ,          ,                  ,  ,0,          ,Provisión enero agua                              ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
14,            ,    ,            ,          ,0,100000001,50,  ,1000,1,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,
15,            ,    ,            ,          ,0,100000001,50,  ,1000,1,233.32,          ,0,   ,2023,     ,499998,S,1000,4280,   ,          ,          ,                  ,  ,0,1400,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
